Material Description,Material Price,Vendor,Location,Formatted Datetime,Days of the Week
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,339.09,qcsupply,"574 Road 11. Schuyler, Nebraska, 68661",10/23/2022 23:33:41,Sunday
500 ft. 4 Gauge Black Stranded Copper THHN Wire,765,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/23/2022 23:33:41,Sunday
500 ft. 4 Gauge Black Stranded Copper THHN Wire,613.64,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/23/2022 23:33:41,Sunday
500 ft. 4 Gauge Black Stranded Copper THHN Wire,1047.78,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",10/23/2022 23:33:41,Sunday
500 ft. 6 Gauge Black Stranded Copper THHN Wire,425,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/23/2022 23:33:41,Sunday
500 ft. 6 Gauge Black Stranded Copper THHN Wire,470.43,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/23/2022 23:33:41,Sunday
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",10/23/2022 23:33:41,Sunday
500 ft. 10 Gauge Black Stranded Copper THHN Wire,145,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/23/2022 23:33:41,Sunday
500 ft. 10 Gauge Black Stranded Copper THHN Wire,155.99,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/23/2022 23:33:41,Sunday
500 ft. 10 Gauge Black Stranded Copper THHN Wire,398.95,cooper-electric,"1 Matrix Drive. Monroe, NJ, 08831",10/23/2022 23:33:41,Sunday
